,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
629,AZtZN1XJ,tehran,buy-apartment,navvab,70,1389,2,3,4,no,no,yes,2023-06-21,"38,300,000","2,681,000,000"
630,AZRG2JhM,tehran,buy-apartment,hashemi,40,1397,1,1,4,yes,no,yes,2023-06-21,"72,500,000","2,900,000,000"
631,AZM6ZVGX,tehran,buy-apartment,velenjak,155,1400,3,5,NA,yes,yes,yes,2023-06-21,"230,000,000","35,650,000,000"
632,AZM6Bzbw,tehran,buy-apartment,kuy-ferdows,106,1402,2,2,NA,yes,yes,yes,2023-06-21,"138,000,000","14,628,000,000"
633,AZIsGM2_,tehran,buy-apartment,mobarak-abad-beheshti,90,1400,2,1,NA,yes,yes,yes,2023-06-21,"29,000,000","2,610,000,000"
634,AZvZWtLF,tehran,buy-apartment,south-jannat-abad,135,1397,3,1,NA,yes,yes,yes,2023-06-21,"108,888,000","14,700,000,000"
635,AZSeevio,tehran,buy-apartment,velenjak,100,1390,2,6,NA,yes,yes,yes,2023-06-21,"185,000,000","18,500,000,000"
636,AZNC340b,tehran,buy-apartment,marzdaran,82,1392,2,2,5,yes,yes,yes,2023-06-21,"123,170,000","10,100,000,000"
637,AZSieCsi,tehran,buy-apartment,heravi,157,1400,3,2,5,yes,yes,yes,2023-06-21,"156,050,000","24,500,000,000"
638,AZPmhLrJ,tehran,buy-apartment,bahar,97,1401,2,1,5,yes,yes,yes,2023-06-21,"108,247,000","10,500,000,000"
639,AZHSBSaC,tehran,buy-apartment,narmak,101,1392,2,5,NA,yes,yes,yes,2023-06-21,"79,207,000","8,000,000,000"
640,AZICHHV2,tehran,buy-apartment,amiriyeh,65,1396,2,2,NA,no,no,yes,2023-06-21,"40,000,000","2,600,000,000"
641,AZSeOoSI,tehran,buy-apartment,dabestan,72,1402,2,2,4,yes,yes,yes,2023-06-21,"155,555,000","11,200,000,000"
642,AZA2n26j,tehran,buy-apartment,darrous,145,1375,3,3,NA,yes,yes,yes,2023-06-21,"125,517,000","18,200,000,000"
